Major Id,Major,Elective ID,Elective Group,Num Req'd
1022,General Technology - Air Conditioning and Refrigeration Mechanics,2010,Math-Elective,1
1023,General Technology - Automotive Technology,2005,Economics-Elective,1
1023,General Technology - Automotive Technology,2002,Communications-Elective,1
1023,General Technology - Automotive Technology,2008,Humanities-Elective,1
1023,General Technology - Automotive Technology,2010,Math-Elective,1
1024,General Technology - Avionics Maintenance Technology,2008,Humanities-Elective,1
1024,General Technology - Avionics Maintenance Technology,2010,Math-Elective,1
1024,General Technology - Avionics Maintenance Technology,2013,Social-Sciences-Elective,1
1025,General Technology - Electrical Line Worker Technology,2005,Economics-Elective,1
1025,General Technology - Electrical Line Worker Technology,2002,Communications-Elective,1
1025,General Technology - Electrical Line Worker Technology,2008,Humanities-Elective,1
1025,General Technology - Electrical Line Worker Technology,2010,Math-Elective,1
1028,General Technology - Industrial Maintenance,2002,Communications-Elective,1
1028,General Technology - Industrial Maintenance,2008,Humanities-Elective,1
1028,General Technology - Industrial Maintenance,2010,Math-Elective,1
1028,General Technology - Industrial Maintenance,2013,Social-Sciences-Elective,1
1029,General Technology - Machine Tool Technology,2002,Communications-Elective,1
1029,General Technology - Machine Tool Technology,2008,Humanities-Elective,1
1029,General Technology - Machine Tool Technology,2010,Math-Elective,1
1029,General Technology - Machine Tool Technology,2013,Social-Sciences-Elective,1
1030,General Technology - Marine Engineering Technology,2002,Communications-Elective,1
1030,General Technology - Marine Engineering Technology,2008,Humanities-Elective,1
1030,General Technology - Marine Engineering Technology,2013,Social-Sciences-Elective,1
1032,General Technology - Mechatronics,2008,Humanities-Elective,1
1032,General Technology - Mechatronics,2013,Social-Sciences-Elective,1
1034,General Technology - Welding,2002,Communications-Elective,1
1034,General Technology - Welding,2008,Humanities-Elective,1
1034,General Technology - Welding,2010,Math-Elective,1
1034,General Technology - Welding,2013,Social-Sciences-Elective,1
1037,Horticulture Technology,2008,Humanities-Elective,1
1037,Horticulture Technology,2010,Math-Elective,1
1037,Horticulture Technology,2013,Social-Sciences-Elective,1
1037,Horticulture Technology,2006,Horticulture-Elective,1
1044,Media Arts Production - Film Production,2013,Social-Sciences-Elective,1
1044,Media Arts Production - Film Production,2010,Math-Elective,1
1045,Media Arts Production - Post Production,2013,Social-Sciences-Elective,1
1045,Media Arts Production - Post Production,2010,Math-Elective,1
1046,Media Arts Production - TV and Media Production,2013,Social-Sciences-Elective,1
1046,Media Arts Production - TV and Media Production,2010,Math-Elective,1
1006,Civil Engineering Technology,2002,Communications-Elective,1
1006,Civil Engineering Technology,2008,Humanities-Elective,1
1006,Civil Engineering Technology,2013,Social-Sciences-Elective,1
1020,Electronics Engineering Technology,2008,Humanities-Elective,1
1020,Electronics Engineering Technology,2013,Social-Sciences-Elective,1
1020,Electronics Engineering Technology,2002,Communications-Elective,1
1026,General Technology - Engineering Design Graphics,2005,Economics-Elective,1
1026,General Technology - Engineering Design Graphics,2008,Humanities-Elective,1
1043,Mechanical Engineering Technology,2002,Communications-Elective,1
1043,Mechanical Engineering Technology,2008,Humanities-Elective,1
1043,Mechanical Engineering Technology,2013,Social-Sciences-Elective,1
1016,Dental Hygiene,2008,Humanities-Elective,1
1016,Dental Hygiene,2010,Math-Elective,1
1016,Dental Hygiene,2002,Communications-Elective,1
1021,Emergency Medical Technology,2010,Math-Elective,1
1021,Emergency Medical Technology,2008,Humanities-Elective,1
1027,General Technology - Expanded Duty Dental Assisting,2010,Math-Elective,1
1027,General Technology - Expanded Duty Dental Assisting,2008,Humanities-Elective,1
1033,General Technology - Medical Assisting,2010,Math-Elective,1
1033,General Technology - Medical Assisting,2008,Humanities-Elective,1
1039,Human Services,2008,Humanities-Elective,1
1039,Human Services,2010,Math-Elective,1
1047,Medical Laboratory Technology,2010,Math-Elective,1
1047,Medical Laboratory Technology,2008,Humanities-Elective,1
1049,Occupational Therapy Assistant,2010,Math-Elective,1
1051,Physical Therapist Assistant,2010,Math-Elective,1
1051,Physical Therapist Assistant,2008,Humanities-Elective,1
1052,Radiologic Technology,2010,Math-Elective,1
1052,Radiologic Technology,2002,Communications-Elective,1
1052,Radiologic Technology,2008,Humanities-Elective,1
1053,Respiratory Care,2008,Humanities-Elective,1
1054,Veterinary Technology,2010,Math-Elective,1
